key,0s,1s,2s,3s,4s,6s,outs,balls
"0, 0",0.28205128205128205,0.38461538461538464,0.10256410256410256,0.0,0.1282051282051282,0.10256410256410256,0.05128205128205128,39
"0, 1",0.3076923076923077,0.46153846153846156,0.046153846153846156,0.0,0.1076923076923077,0.07692307692307693,0.046153846153846156,65
"0, 2",0.4308910494136514,0.36564097424075376,0.06935952691189737,0.0030069159065851457,0.09171093515084695,0.03929036784604591,0.06374661721960509,9977
"0, 3",0.4159869494290375,0.37010603588907015,0.06871941272430669,0.0032626427406199023,0.09685970636215334,0.04465742251223491,0.0599510603588907,4904
"0, 4",0.41281314168377825,0.3748665297741273,0.07047227926078029,0.0034496919917864476,0.09634496919917865,0.041724845995893226,0.05700205338809035,12175
"1, 0",0.34615384615384615,0.4230769230769231,0.038461538461538464,0.0,0.11538461538461539,0.07692307692307693,0.038461538461538464,26
"1, 1",0.45454545454545453,0.2727272727272727,0.09090909090909091,0.0,0.09090909090909091,0.09090909090909091,0.09090909090909091,11
"1, 2",0.44095540337397693,0.32119592450309004,0.054785368297978955,0.0031735426757975613,0.1282779355269751,0.05144479706029731,0.03975279772841156,5987
"1, 3",0.4062087186261559,0.32166446499339496,0.05812417437252312,0.002311756935270806,0.13606340819022458,0.07529722589167767,0.03863936591809775,3028
"1, 4",0.4346707217218388,0.3262369867820798,0.05205287168089835,0.003509182360510001,0.12609661948765938,0.057433617967013684,0.04246110656217102,8549
"2, 0",0.2768361581920904,0.4406779661016949,0.07344632768361582,0.0,0.1638418079096045,0.04519774011299435,0.03954802259887006,177
"2, 1",0.30303030303030304,0.4393939393939394,0.050505050505050504,0.0,0.15151515151515152,0.05555555555555555,0.050505050505050504,198
"2, 2",0.40855776939751165,0.37206401995427146,0.06657362591679782,0.0034444873355702703,0.11046114558897764,0.0385723193871188,0.04005701220417496,33677
"2, 3",0.37850635647743064,0.38133717638581505,0.0648000411755623,0.004169025683256987,0.12337227855267899,0.04755777446085748,0.03556539193988368,19429
"2, 4",0.3935193399574166,0.3777058197303052,0.06422995031937544,0.0033268275372604684,0.11887863733144073,0.0418958481192335,0.04083126330731015,45088
"3, 0",0.5,0.5,0.0,0.0,0.0,0.0,0.0,2
"3, 1",0.2,0.6,0.2,0.0,0.0,0.0,0.0,5
"3, 2",0.4823830877642537,0.3555413196668802,0.07046764894298527,0.0025624599615631004,0.06854580397181294,0.020499679692504803,0.07174887892376682,1561
"3, 3",0.4722598105548038,0.37483085250338294,0.05277401894451962,0.0027063599458728013,0.07713125845737483,0.02029769959404601,0.07171853856562922,739
"3, 4",0.4597333333333333,0.3728,0.0656,0.0016,0.07893333333333333,0.021333333333333333,0.06986666666666666,1875
